"","estimates","methods","scene","par"
"1",1.05904546116658,"Q-Learning with lasso","Scenario 1","psi0"
"2",0.977704071590994,"Q-Learning with lasso","Scenario 1","psi0"
"3",0.970288470819704,"Q-Learning with lasso","Scenario 1","psi0"
"4",1.12609561825329,"Q-Learning with lasso","Scenario 1","psi0"
"5",0.853365255558139,"Q-Learning with lasso","Scenario 1","psi0"
"6",0.918656523446079,"Q-Learning with lasso","Scenario 1","psi0"
"7",0.916234256371579,"Q-Learning with lasso","Scenario 1","psi0"
"8",0.914735913429045,"Q-Learning with lasso","Scenario 1","psi0"
"9",1.08707215467603,"Q-Learning with lasso","Scenario 1","psi0"
"10",0.937716180976027,"Q-Learning with lasso","Scenario 1","psi0"
"11",0.859926294779067,"Q-Learning with lasso","Scenario 1","psi0"
"12",0.878987975498471,"Q-Learning with lasso","Scenario 1","psi0"
"13",0.891403964424165,"Q-Learning with lasso","Scenario 1","psi0"
"14",0.963733815447017,"Q-Learning with lasso","Scenario 1","psi0"
"15",0.891949670932794,"Q-Learning with lasso","Scenario 1","psi0"
"16",0.897138881603813,"Q-Learning with lasso","Scenario 1","psi0"
"17",1.04158077073732,"Q-Learning with lasso","Scenario 1","psi0"
"18",1.03555278768662,"Q-Learning with lasso","Scenario 1","psi0"
"19",0.942645921536738,"Q-Learning with lasso","Scenario 1","psi0"
"20",0.897039047267845,"Q-Learning with lasso","Scenario 1","psi0"
"21",0.953310545740384,"Q-Learning with lasso","Scenario 1","psi0"
"22",0.741980841382553,"Q-Learning with lasso","Scenario 1","psi0"
"23",0.897869997394379,"Q-Learning with lasso","Scenario 1","psi0"
"24",1.03247045143511,"Q-Learning with lasso","Scenario 1","psi0"
"25",0.897770686226932,"Q-Learning with lasso","Scenario 1","psi0"
"26",1.08669994020024,"Q-Learning with lasso","Scenario 1","psi0"
"27",0.919020962551206,"Q-Learning with lasso","Scenario 1","psi0"
"28",0.965225087040029,"Q-Learning with lasso","Scenario 1","psi0"
"29",0.945555667389784,"Q-Learning with lasso","Scenario 1","psi0"
"30",0.898910510560468,"Q-Learning with lasso","Scenario 1","psi0"
"31",1.01892595961141,"Q-Learning with lasso","Scenario 1","psi0"
"32",0.828962453626028,"Q-Learning with lasso","Scenario 1","psi0"
"33",0.987179304139079,"Q-Learning with lasso","Scenario 1","psi0"
"34",1.00755052965642,"Q-Learning with lasso","Scenario 1","psi0"
"35",0.802602246835587,"Q-Learning with lasso","Scenario 1","psi0"
"36",0.85102806876119,"Q-Learning with lasso","Scenario 1","psi0"
"37",1.01191034689013,"Q-Learning with lasso","Scenario 1","psi0"
"38",1.03454580441564,"Q-Learning with lasso","Scenario 1","psi0"
"39",0.855159829790956,"Q-Learning with lasso","Scenario 1","psi0"
"40",0.950242583654978,"Q-Learning with lasso","Scenario 1","psi0"
"41",0.999802497622252,"Q-Learning with lasso","Scenario 1","psi0"
"42",0.905849752528615,"Q-Learning with lasso","Scenario 1","psi0"
"43",0.893145915195078,"Q-Learning with lasso","Scenario 1","psi0"
"44",0.885114553568605,"Q-Learning with lasso","Scenario 1","psi0"
"45",0.897160055364042,"Q-Learning with lasso","Scenario 1","psi0"
"46",0.957421358957317,"Q-Learning with lasso","Scenario 1","psi0"
"47",0.927951785672844,"Q-Learning with lasso","Scenario 1","psi0"
"48",0.864624989314456,"Q-Learning with lasso","Scenario 1","psi0"
"49",0.980052771202095,"Q-Learning with lasso","Scenario 1","psi0"
"50",0.90318939119253,"Q-Learning with lasso","Scenario 1","psi0"
"51",0.772683061573112,"Q-Learning with lasso","Scenario 1","psi0"
"52",1.08143974690195,"Q-Learning with lasso","Scenario 1","psi0"
"53",1.0234935256822,"Q-Learning with lasso","Scenario 1","psi0"
"54",0.966142837740453,"Q-Learning with lasso","Scenario 1","psi0"
"55",0.950890350932867,"Q-Learning with lasso","Scenario 1","psi0"
"56",0.972131713271741,"Q-Learning with lasso","Scenario 1","psi0"
"57",1.12346344991956,"Q-Learning with lasso","Scenario 1","psi0"
"58",0.93999407048701,"Q-Learning with lasso","Scenario 1","psi0"
"59",1.11513413158175,"Q-Learning with lasso","Scenario 1","psi0"
"60",0.914101753318527,"Q-Learning with lasso","Scenario 1","psi0"
"61",0.89254918187119,"Q-Learning with lasso","Scenario 1","psi0"
"62",0.898158727137042,"Q-Learning with lasso","Scenario 1","psi0"
"63",0.838827497710981,"Q-Learning with lasso","Scenario 1","psi0"
"64",0.928076764489207,"Q-Learning with lasso","Scenario 1","psi0"
"65",0.918575811248866,"Q-Learning with lasso","Scenario 1","psi0"
"66",0.965997993653043,"Q-Learning with lasso","Scenario 1","psi0"
"67",0.86236822883841,"Q-Learning with lasso","Scenario 1","psi0"
"68",0.806719007748802,"Q-Learning with lasso","Scenario 1","psi0"
"69",0.826193780340427,"Q-Learning with lasso","Scenario 1","psi0"
"70",0.929251951745138,"Q-Learning with lasso","Scenario 1","psi0"
"71",0.97172677272065,"Q-Learning with lasso","Scenario 1","psi0"
"72",0.956163899370118,"Q-Learning with lasso","Scenario 1","psi0"
"73",0.871635410857398,"Q-Learning with lasso","Scenario 1","psi0"
"74",0.904452395887645,"Q-Learning with lasso","Scenario 1","psi0"
"75",0.98456054501777,"Q-Learning with lasso","Scenario 1","psi0"
"76",0.84705982298286,"Q-Learning with lasso","Scenario 1","psi0"
"77",1.02564905305655,"Q-Learning with lasso","Scenario 1","psi0"
"78",0.950406473894963,"Q-Learning with lasso","Scenario 1","psi0"
"79",0.977468460604909,"Q-Learning with lasso","Scenario 1","psi0"
"80",0.955674566791039,"Q-Learning with lasso","Scenario 1","psi0"
"81",0.901049045549994,"Q-Learning with lasso","Scenario 1","psi0"
"82",1.04564888976332,"Q-Learning with lasso","Scenario 1","psi0"
"83",0.916703336925996,"Q-Learning with lasso","Scenario 1","psi0"
"84",0.837552807798381,"Q-Learning with lasso","Scenario 1","psi0"
"85",0.874768273772813,"Q-Learning with lasso","Scenario 1","psi0"
"86",0.927975152666879,"Q-Learning with lasso","Scenario 1","psi0"
"87",0.875691922179199,"Q-Learning with lasso","Scenario 1","psi0"
"88",0.843399822747592,"Q-Learning with lasso","Scenario 1","psi0"
"89",0.817994415769518,"Q-Learning with lasso","Scenario 1","psi0"
"90",1.00836074019493,"Q-Learning with lasso","Scenario 1","psi0"
"91",1.03839292094438,"Q-Learning with lasso","Scenario 1","psi0"
"92",0.903969893046023,"Q-Learning with lasso","Scenario 1","psi0"
"93",0.959262654967783,"Q-Learning with lasso","Scenario 1","psi0"
"94",0.780959146043406,"Q-Learning with lasso","Scenario 1","psi0"
"95",0.873797487918496,"Q-Learning with lasso","Scenario 1","psi0"
"96",1.00325419387448,"Q-Learning with lasso","Scenario 1","psi0"
"97",0.916628355463109,"Q-Learning with lasso","Scenario 1","psi0"
"98",1.14036614108207,"Q-Learning with lasso","Scenario 1","psi0"
"99",0.892640331141986,"Q-Learning with lasso","Scenario 1","psi0"
"100",0.747214690524869,"Q-Learning with lasso","Scenario 1","psi0"
"101",0.882750708425205,"Q-Learning with lasso","Scenario 1","psi0"
"102",0.863324755338156,"Q-Learning with lasso","Scenario 1","psi0"
"103",1.02165833806584,"Q-Learning with lasso","Scenario 1","psi0"
"104",0.997283262521026,"Q-Learning with lasso","Scenario 1","psi0"
"105",0.816187139874906,"Q-Learning with lasso","Scenario 1","psi0"
"106",0.917701384641847,"Q-Learning with lasso","Scenario 1","psi0"
"107",1.15106581970878,"Q-Learning with lasso","Scenario 1","psi0"
"108",0.81911123860683,"Q-Learning with lasso","Scenario 1","psi0"
"109",0.816466779703911,"Q-Learning with lasso","Scenario 1","psi0"
"110",0.920424247560502,"Q-Learning with lasso","Scenario 1","psi0"
"111",0.912890063983734,"Q-Learning with lasso","Scenario 1","psi0"
"112",0.825145497912666,"Q-Learning with lasso","Scenario 1","psi0"
"113",0.948356514299394,"Q-Learning with lasso","Scenario 1","psi0"
"114",0.884183750214945,"Q-Learning with lasso","Scenario 1","psi0"
"115",1.0338803200476,"Q-Learning with lasso","Scenario 1","psi0"
"116",0.898467230489839,"Q-Learning with lasso","Scenario 1","psi0"
"117",0.967628326017881,"Q-Learning with lasso","Scenario 1","psi0"
"118",1.01248521470038,"Q-Learning with lasso","Scenario 1","psi0"
"119",0.921595816134815,"Q-Learning with lasso","Scenario 1","psi0"
"120",0.827746371245571,"Q-Learning with lasso","Scenario 1","psi0"
"121",0.986719412087055,"Q-Learning with lasso","Scenario 1","psi0"
"122",1.0352603805004,"Q-Learning with lasso","Scenario 1","psi0"
"123",0.949654202616097,"Q-Learning with lasso","Scenario 1","psi0"
"124",0.902786895055221,"Q-Learning with lasso","Scenario 1","psi0"
"125",1.06625813737237,"Q-Learning with lasso","Scenario 1","psi0"
"126",0.842743241987482,"Q-Learning with lasso","Scenario 1","psi0"
"127",0.800490021741724,"Q-Learning with lasso","Scenario 1","psi0"
"128",1.04240881994046,"Q-Learning with lasso","Scenario 1","psi0"
"129",1.00030041780393,"Q-Learning with lasso","Scenario 1","psi0"
"130",0.815979592690708,"Q-Learning with lasso","Scenario 1","psi0"
"131",0.905282416015189,"Q-Learning with lasso","Scenario 1","psi0"
"132",1.00423013056103,"Q-Learning with lasso","Scenario 1","psi0"
"133",0.974008126531913,"Q-Learning with lasso","Scenario 1","psi0"
"134",0.823545424772356,"Q-Learning with lasso","Scenario 1","psi0"
"135",0.90407517917492,"Q-Learning with lasso","Scenario 1","psi0"
"136",0.847426911716307,"Q-Learning with lasso","Scenario 1","psi0"
"137",0.903525252206219,"Q-Learning with lasso","Scenario 1","psi0"
"138",0.897026324376477,"Q-Learning with lasso","Scenario 1","psi0"
"139",0.767386789772555,"Q-Learning with lasso","Scenario 1","psi0"
"140",0.763580805789166,"Q-Learning with lasso","Scenario 1","psi0"
"141",0.977927662071239,"Q-Learning with lasso","Scenario 1","psi0"
"142",0.860497729597663,"Q-Learning with lasso","Scenario 1","psi0"
"143",0.939866092862768,"Q-Learning with lasso","Scenario 1","psi0"
"144",0.905661983664972,"Q-Learning with lasso","Scenario 1","psi0"
"145",0.949724063065,"Q-Learning with lasso","Scenario 1","psi0"
"146",1.0074009335949,"Q-Learning with lasso","Scenario 1","psi0"
"147",0.976416432672081,"Q-Learning with lasso","Scenario 1","psi0"
"148",1.02522402783365,"Q-Learning with lasso","Scenario 1","psi0"
"149",0.823662885835432,"Q-Learning with lasso","Scenario 1","psi0"
"150",0.883168361748048,"Q-Learning with lasso","Scenario 1","psi0"
"151",0.914760459730675,"Q-Learning with lasso","Scenario 1","psi0"
"152",1.01668779358973,"Q-Learning with lasso","Scenario 1","psi0"
"153",1.03649523851234,"Q-Learning with lasso","Scenario 1","psi0"
"154",0.787093540461778,"Q-Learning with lasso","Scenario 1","psi0"
"155",0.880994671988607,"Q-Learning with lasso","Scenario 1","psi0"
"156",0.817185544567139,"Q-Learning with lasso","Scenario 1","psi0"
"157",1.04874202126746,"Q-Learning with lasso","Scenario 1","psi0"
"158",0.931426053863422,"Q-Learning with lasso","Scenario 1","psi0"
"159",0.995855684699705,"Q-Learning with lasso","Scenario 1","psi0"
"160",1.06610264084805,"Q-Learning with lasso","Scenario 1","psi0"
"161",0.859963118758947,"Q-Learning with lasso","Scenario 1","psi0"
"162",1.11463635854856,"Q-Learning with lasso","Scenario 1","psi0"
"163",0.988560860626495,"Q-Learning with lasso","Scenario 1","psi0"
"164",0.803686026589417,"Q-Learning with lasso","Scenario 1","psi0"
"165",0.805314278095397,"Q-Learning with lasso","Scenario 1","psi0"
"166",0.900736417356174,"Q-Learning with lasso","Scenario 1","psi0"
