"","estimates","methods","scene","par"
"1",0.891127261725448,"Q-Learning with lasso","Scenario 1","psi0"
"2",1.23279040901505,"Q-Learning with lasso","Scenario 1","psi0"
"3",0.841601701175441,"Q-Learning with lasso","Scenario 1","psi0"
"4",0.848967327617374,"Q-Learning with lasso","Scenario 1","psi0"
"5",0.831711407306145,"Q-Learning with lasso","Scenario 1","psi0"
"6",0.563953532289682,"Q-Learning with lasso","Scenario 1","psi0"
"7",1.06970889565032,"Q-Learning with lasso","Scenario 1","psi0"
"8",0.752218601752766,"Q-Learning with lasso","Scenario 1","psi0"
"9",0.895044667266168,"Q-Learning with lasso","Scenario 1","psi0"
"10",1.29504754153752,"Q-Learning with lasso","Scenario 1","psi0"
"11",1.35100826789029,"Q-Learning with lasso","Scenario 1","psi0"
"12",0.77330326619025,"Q-Learning with lasso","Scenario 1","psi0"
"13",1.09112199205919,"Q-Learning with lasso","Scenario 1","psi0"
"14",1.22322499107333,"Q-Learning with lasso","Scenario 1","psi0"
"15",0.969638868367502,"Q-Learning with lasso","Scenario 1","psi0"
"16",0.954213041651335,"Q-Learning with lasso","Scenario 1","psi0"
"17",1.0197488129705,"Q-Learning with lasso","Scenario 1","psi0"
"18",0.836199391232481,"Q-Learning with lasso","Scenario 1","psi0"
"19",0.834139273159325,"Q-Learning with lasso","Scenario 1","psi0"
"20",1.00817045191733,"Q-Learning with lasso","Scenario 1","psi0"
"21",0.793528758183382,"Q-Learning with lasso","Scenario 1","psi0"
"22",0.860459701375021,"Q-Learning with lasso","Scenario 1","psi0"
"23",0.86225521950042,"Q-Learning with lasso","Scenario 1","psi0"
"24",0.714878019843171,"Q-Learning with lasso","Scenario 1","psi0"
"25",0.928648747916221,"Q-Learning with lasso","Scenario 1","psi0"
"26",0.694437278692658,"Q-Learning with lasso","Scenario 1","psi0"
"27",0.855638746779287,"Q-Learning with lasso","Scenario 1","psi0"
"28",0.961169986929823,"Q-Learning with lasso","Scenario 1","psi0"
"29",0.751836457501877,"Q-Learning with lasso","Scenario 1","psi0"
"30",1.26075401349636,"Q-Learning with lasso","Scenario 1","psi0"
"31",0.934456661963028,"Q-Learning with lasso","Scenario 1","psi0"
"32",1.00161041881735,"Q-Learning with lasso","Scenario 1","psi0"
"33",0.934882870908676,"Q-Learning with lasso","Scenario 1","psi0"
"34",0.855272408339979,"Q-Learning with lasso","Scenario 1","psi0"
"35",0.772337221810688,"Q-Learning with lasso","Scenario 1","psi0"
"36",0.954703818699962,"Q-Learning with lasso","Scenario 1","psi0"
"37",1.22849905283963,"Q-Learning with lasso","Scenario 1","psi0"
"38",0.912877679345974,"Q-Learning with lasso","Scenario 1","psi0"
"39",0.887510976221221,"Q-Learning with lasso","Scenario 1","psi0"
"40",0.581615605251978,"Q-Learning with lasso","Scenario 1","psi0"
"41",0.910632260494099,"Q-Learning with lasso","Scenario 1","psi0"
"42",1.25180015808824,"Q-Learning with lasso","Scenario 1","psi0"
"43",0.548873126307506,"Q-Learning with lasso","Scenario 1","psi0"
"44",0.886235370242823,"Q-Learning with lasso","Scenario 1","psi0"
"45",0.93749398021004,"Q-Learning with lasso","Scenario 1","psi0"
"46",0.90345346067717,"Q-Learning with lasso","Scenario 1","psi0"
"47",1.01339112251948,"Q-Learning with lasso","Scenario 1","psi0"
"48",0.886506360963455,"Q-Learning with lasso","Scenario 1","psi0"
"49",0.597635864411562,"Q-Learning with lasso","Scenario 1","psi0"
"50",1.19567499992834,"Q-Learning with lasso","Scenario 1","psi0"
"51",0.78970212614394,"Q-Learning with lasso","Scenario 1","psi0"
"52",0.89771805340532,"Q-Learning with lasso","Scenario 1","psi0"
"53",0.909901284445199,"Q-Learning with lasso","Scenario 1","psi0"
"54",0.888538372310674,"Q-Learning with lasso","Scenario 1","psi0"
"55",1.35037432892811,"Q-Learning with lasso","Scenario 1","psi0"
"56",0.88218440922462,"Q-Learning with lasso","Scenario 1","psi0"
"57",0.597911605535674,"Q-Learning with lasso","Scenario 1","psi0"
"58",1.05204685096034,"Q-Learning with lasso","Scenario 1","psi0"
"59",0.8260167292147,"Q-Learning with lasso","Scenario 1","psi0"
"60",1.01068131005845,"Q-Learning with lasso","Scenario 1","psi0"
