"","estimates","methods","scene","par"
"80",2.13310515452562,"Q-Learning with lasso","Scenario 1","psi0"
"81",1.22929262178432,"Q-Learning with lasso","Scenario 1","psi0"
"82",0.711293887370505,"Q-Learning with lasso","Scenario 1","psi0"
"83",1.67528382330192,"Q-Learning with lasso","Scenario 1","psi0"
"84",0.759187051556406,"Q-Learning with lasso","Scenario 1","psi0"
"85",0.917342395401759,"Q-Learning with lasso","Scenario 1","psi0"
"86",1.24398131896465,"Q-Learning with lasso","Scenario 1","psi0"
"87",1.20665461868408,"Q-Learning with lasso","Scenario 1","psi0"
"88",0.61924655951854,"Q-Learning with lasso","Scenario 1","psi0"
"89",1.5988444988266,"Q-Learning with lasso","Scenario 1","psi0"
"90",0.243855732734958,"Q-Learning with lasso","Scenario 1","psi0"
"91",1.01110224178426,"Q-Learning with lasso","Scenario 1","psi0"
"92",0.745911402848535,"Q-Learning with lasso","Scenario 1","psi0"
"93",0.749958230449469,"Q-Learning with lasso","Scenario 1","psi0"
"94",0.979967334267333,"Q-Learning with lasso","Scenario 1","psi0"
"95",0,"Q-Learning with lasso","Scenario 1","psi0"
"96",1.02799146770591,"Q-Learning with lasso","Scenario 1","psi0"
"97",0.663876371537899,"Q-Learning with lasso","Scenario 1","psi0"
"98",1.47494836023387,"Q-Learning with lasso","Scenario 1","psi0"
"99",0.547472760010708,"Q-Learning with lasso","Scenario 1","psi0"
"100",0.817695129496287,"Q-Learning with lasso","Scenario 1","psi0"
"101",1.17106540030708,"Q-Learning with lasso","Scenario 1","psi0"
"102",0.716830690518852,"Q-Learning with lasso","Scenario 1","psi0"
"103",1.53402297917183,"Q-Learning with lasso","Scenario 1","psi0"
"104",0.890665038502108,"Q-Learning with lasso","Scenario 1","psi0"
"105",0.712947044846018,"Q-Learning with lasso","Scenario 1","psi0"
"106",0,"Q-Learning with lasso","Scenario 1","psi0"
"107",0.863128951016578,"Q-Learning with lasso","Scenario 1","psi0"
"108",0.49889520189355,"Q-Learning with lasso","Scenario 1","psi0"
"109",0.637547605053395,"Q-Learning with lasso","Scenario 1","psi0"
"110",1.53453046690889,"Q-Learning with lasso","Scenario 1","psi0"
"111",0.602716285010994,"Q-Learning with lasso","Scenario 1","psi0"
"112",0.774997484747432,"Q-Learning with lasso","Scenario 1","psi0"
"113",1.40132877586798,"Q-Learning with lasso","Scenario 1","psi0"
"114",1.02823490807225,"Q-Learning with lasso","Scenario 1","psi0"
"115",0.949450901455468,"Q-Learning with lasso","Scenario 1","psi0"
"116",0.712772153960565,"Q-Learning with lasso","Scenario 1","psi0"
"117",1.29649331358014,"Q-Learning with lasso","Scenario 1","psi0"
"118",0.953275405787134,"Q-Learning with lasso","Scenario 1","psi0"
"119",1.72268050363961,"Q-Learning with lasso","Scenario 1","psi0"
"120",1.20205042948605,"Q-Learning with lasso","Scenario 1","psi0"
"121",0.609200358753289,"Q-Learning with lasso","Scenario 1","psi0"
"122",1.18444273763197,"Q-Learning with lasso","Scenario 1","psi0"
"123",0.761339304173502,"Q-Learning with lasso","Scenario 1","psi0"
"124",1.23970532621123,"Q-Learning with lasso","Scenario 1","psi0"
"125",0.118811689531023,"Q-Learning with lasso","Scenario 1","psi0"
"126",1.48213047040002,"Q-Learning with lasso","Scenario 1","psi0"
"127",1.00681226855748,"Q-Learning with lasso","Scenario 1","psi0"
"128",0.709461185487511,"Q-Learning with lasso","Scenario 1","psi0"
"129",1.50571461549156,"Q-Learning with lasso","Scenario 1","psi0"
"130",0.994942464674234,"Q-Learning with lasso","Scenario 1","psi0"
"131",1.62618902942682,"Q-Learning with lasso","Scenario 1","psi0"
"132",1.21645709161487,"Q-Learning with lasso","Scenario 1","psi0"
"133",0.950532971182554,"Q-Learning with lasso","Scenario 1","psi0"
"134",1.06815758502489,"Q-Learning with lasso","Scenario 1","psi0"
"135",1.01733857987884,"Q-Learning with lasso","Scenario 1","psi0"
"136",1.14381565207921,"Q-Learning with lasso","Scenario 1","psi0"
"137",1.46173293732386,"Q-Learning with lasso","Scenario 1","psi0"
"138",0.0874218070224612,"Q-Learning with lasso","Scenario 1","psi0"
"139",1.40963861503956,"Q-Learning with lasso","Scenario 1","psi0"
"140",0.83813209668455,"Q-Learning with lasso","Scenario 1","psi0"
"141",1.26132727742491,"Q-Learning with lasso","Scenario 1","psi0"
"142",1.17323084967142,"Q-Learning with lasso","Scenario 1","psi0"
"143",1.27916307790316,"Q-Learning with lasso","Scenario 1","psi0"
"144",0.460245166694276,"Q-Learning with lasso","Scenario 1","psi0"
"145",1.1492570577091,"Q-Learning with lasso","Scenario 1","psi0"
"146",0.854458976119363,"Q-Learning with lasso","Scenario 1","psi0"
"147",1.19249840852342,"Q-Learning with lasso","Scenario 1","psi0"
"148",1.06333280685886,"Q-Learning with lasso","Scenario 1","psi0"
"149",0.638707620952096,"Q-Learning with lasso","Scenario 1","psi0"
"150",1.6278908597363,"Q-Learning with lasso","Scenario 1","psi0"
"151",1.00389537274805,"Q-Learning with lasso","Scenario 1","psi0"
"152",0.472493777578075,"Q-Learning with lasso","Scenario 1","psi0"
"153",1.07877189660022,"Q-Learning with lasso","Scenario 1","psi0"
"154",1.44254894258196,"Q-Learning with lasso","Scenario 1","psi0"
"155",1.48433653036096,"Q-Learning with lasso","Scenario 1","psi0"
"156",1.18539452809028,"Q-Learning with lasso","Scenario 1","psi0"
"157",0.570359523072652,"Q-Learning with lasso","Scenario 1","psi0"
"158",0.516510532559454,"Q-Learning with lasso","Scenario 1","psi0"
"159",0.881010682150073,"Q-Learning with lasso","Scenario 1","psi0"
"160",1.36020351034767,"Q-Learning with lasso","Scenario 1","psi0"
"161",0.581647728097434,"Q-Learning with lasso","Scenario 1","psi0"
"162",0.928693727215306,"Q-Learning with lasso","Scenario 1","psi0"
"163",0.959722421165115,"Q-Learning with lasso","Scenario 1","psi0"
"164",1.2923139393779,"Q-Learning with lasso","Scenario 1","psi0"
"165",1.07654639635301,"Q-Learning with lasso","Scenario 1","psi0"
"166",1.17083870442673,"Q-Learning with lasso","Scenario 1","psi0"
"167",1.36324621240342,"Q-Learning with lasso","Scenario 1","psi0"
"168",0.908676014044352,"Q-Learning with lasso","Scenario 1","psi0"
"169",1.27360667411783,"Q-Learning with lasso","Scenario 1","psi0"
"170",1.445596192458,"Q-Learning with lasso","Scenario 1","psi0"
"171",0.230848896704449,"Q-Learning with lasso","Scenario 1","psi0"
"172",0.44940557288151,"Q-Learning with lasso","Scenario 1","psi0"
"173",0.761084360306263,"Q-Learning with lasso","Scenario 1","psi0"
"174",1.02452439177727,"Q-Learning with lasso","Scenario 1","psi0"
"175",1.33090043639127,"Q-Learning with lasso","Scenario 1","psi0"
"176",0.912223034399126,"Q-Learning with lasso","Scenario 1","psi0"
"177",1.45402091530695,"Q-Learning with lasso","Scenario 1","psi0"
"178",1.09942358278759,"Q-Learning with lasso","Scenario 1","psi0"
"179",1.29795170706977,"Q-Learning with lasso","Scenario 1","psi0"
